1::Toy Story (1995)::An;imation|Children's|Comedy
593::Silence of the Lam;bs, The (1991)::Drama|Thriller
594::Snow White and the;Seven Dwarfs (1937)::Animation|Children's|Musical
595::Beauty and the Bea;st (1991)::Animation|Children's|Musical
596::Pinocchio (1940)::;Animation|Children's
597::Pretty Woman (1990;)::Comedy|Romance
598::Window to Paris (1;994)::Comedy
599::Wild Bunch, The (1;969)::Western
600::Love and a .45 (19;94)::Thriller
601::Wooden Man's Bride;, The (Wu Kui) (1994)::Drama
602::Great Day in Harle;m, A (1994)::Documentary
603::Bye Bye, Love (199;5)::Comedy
604::Criminals (1996)::;Documentary
605::One Fine Day (1996;)::Drama|Romance
606::Candyman: Farewell;to the Flesh (1995)::Horror
607::Century (1993)::Dr;ama
608::Fargo (1996)::Crim;e|Drama|Thriller
609::Homeward Bound II:;Lost in San Francisco (1996)::Adventure|Children's
610::Heavy Metal (1981);::Action|Adventure|Animation|Horror|Sci-Fi
611::Hellraiser: Bloodl;ine (1996)::Action|Horror|Sci-Fi
612::Pallbearer, The (1;996)::Comedy
613::Jane Eyre (1996)::;Drama|Romance
614::Loaded (1994)::Dra;ma|Thriller
615::Bread and Chocolat;e (Pane e cioccolata) (1973)::Drama
616::Aristocats, The (1;970)::Animation|Children's
617::Flower of My Secre;t, The (La Flor de Mi Secreto) (1995)::Drama
618::Two Much (1996)::C;omedy|Romance
619::Ed (1996)::Comedy;
620::Scream of Stone (S;chrei aus Stein) (1991)::Drama
621::My Favorite Season;(1993)::Drama
623::Modern Affair, A (;1995)::Romance
624::Condition Red (199;5)::Action|Drama|Thriller
625::Asfour Stah (1990);::Drama
626::Thin Line Between;Love and Hate, A (1996)::Comedy
627::Last Supper, The (;1995)::Drama|Thriller
628::Primal Fear (1996);::Drama|Thriller
629::Rude (1995)::Drama;
630::Carried Away (1996;)::Drama|Romance
631::All Dogs Go to Hea;ven 2 (1996)::Animation|Children's|Musical
632::Land and Freedom (;Tierra y libertad) (1995)::War
633::Denise Calls Up (1;995)::Comedy
634::Theodore Rex (1995;)::Comedy
635::Family Thing, A (1;996)::Comedy|Drama
636::Frisk (1995)::Dram;a
637::Sgt. Bilko (1996):;:Comedy
638::Jack and Sarah (19;95)::Romance
639::Girl 6 (1996)::Com;edy
640::Diabolique (1996):;:Drama|Thriller
641::Little Indian, Big;City (Un indien dans la ville) (1994)::Comedy
642::Roula (1995)::Dram;a
643::Peanuts - Die Bank;zahlt alles (1996)::Comedy
644::Happy Weekend (199;6)::Comedy
645::Nelly & Monsieur A;rnaud (1995)::Drama
647::Courage Under Fire;(1996)::Drama|War
648::Mission: Impossibl;e (1996)::Action|Adventure|Mystery
649::Cold Fever (Á köld;um klaka) (1994)::Comedy|Drama
650::Moll Flanders (199;6)::Drama
651::Superweib, Das (19;96)::Comedy
652::301, 302 (1995)::M;ystery
653::Dragonheart (1996);::Action|Adventure|Fantasy
654::Und keiner weint m;ir nach (1996)::Drama|Romance
655::Mutters Courage (1;995)::Comedy
656::Eddie (1996)::Come;dy
657::Yankee Zulu (1994);::Comedy|Drama
658::Billy's Holiday (1;995)::Drama
659::Purple Noon (1960);::Crime|Thriller
660::August (1996)::Dra;ma
661::James and the Gian;t Peach (1996)::Animation|Children's|Musical
662::Fear (1996)::Thril;ler
663::Kids in the Hall:;Brain Candy (1996)::Comedy
664::Faithful (1996)::C;omedy
665::Underground (1995);::War
666::All Things Fair (1;996)::Drama
667::Bloodsport 2 (1995;)::Action
668::Pather Panchali (1;955)::Drama
669::Aparajito (1956)::;Drama
670::World of Apu, The;(Apur Sansar) (1959)::Drama
671::Mystery Science Th;eater 3000: The Movie (1996)::Comedy|Sci-Fi
672::Tarantella (1995):;:Drama
673::Space Jam (1996)::;Adventure|Animation|Children's|Comedy|Fantasy
674::Barbarella (1968):;:Adventure|Sci-Fi
675::Hostile Intentions;(1994)::Action|Drama|Thriller
676::They Bite (1996)::;Drama
678::Some Folks Call It;a Sling Blade (1993)::Drama|Thriller
679::Run of the Country;, The (1995)::Drama
680::Alphaville (1965):;:Sci-Fi
681::Clean Slate (Coup;de Torchon) (1981)::Crime
682::Tigrero: A Film Th;at Was Never Made (1994)::Documentary|Drama
683::Eye of Vichy, The;(Oeil de Vichy, L') (1993)::Documentary
684::Windows (1980)::Dr;ama
685::It's My Party (199;5)::Drama
687::Country Life (1994;)::Drama|Romance
688::Operation Dumbo Dr;op (1995)::Action|Adventure|Comedy|War
690::Promise, The (Vers;prechen, Das) (1994)::Romance
691::Mrs. Winterbourne;(1996)::Comedy|Romance
692::Solo (1996)::Actio;n|Sci-Fi|Thriller
693::Under the Domin Tr;ee (Etz Hadomim Tafus) (1994)::Drama
694::Substitute, The (1;996)::Action
695::True Crime (1995):;:Mystery|Thriller
696::Butterfly Kiss (19;95)::Thriller
697::Feeling Minnesota;(1996)::Drama|Romance
698::Delta of Venus (19;94)::Drama
699::To Cross the Rubic;on (1991)::Drama
700::Angus (1995)::Come;dy
701::Daens (1992)::Dram;a
702::Faces (1968)::Dram;a
703::Boys (1996)::Drama;
704::Quest, The (1996):;:Action|Adventure
705::Cosi (1996)::Comed;y
706::Sunset Park (1996);::Drama
707::Mulholland Falls (;1996)::Crime|Film-Noir|Thriller
708::Truth About Cats &;Dogs, The (1996)::Comedy|Romance
709::Oliver & Company (;1988)::Animation|Children's
710::Celtic Pride (1996;)::Comedy
711::Flipper (1996)::Ad;venture|Children's
712::Captives (1994)::D;rama
713::Of Love and Shadow;s (1994)::Drama
714::Dead Man (1995)::W;estern
715::Horseman on the Ro;of, The (Hussard sur le toit, Le) (1995)::Drama
716::Switchblade Sister;s (1975)::Crime
717::Mouth to Mouth (Bo;ca a boca) (1995)::Comedy
718::Visitors, The (Les;Visiteurs) (1993)::Comedy|Sci-Fi
719::Multiplicity (1996;)::Comedy
720::Wallace & Gromit:;The Best of Aardman Animation (1996)::Animation
721::Halfmoon (Paul Bow;les - Halbmond) (1995)::Drama
722::Haunted World of E;dward D. Wood Jr., The (1995)::Documentary
723::Two Friends (1986);::Drama
724::Craft, The (1996):;:Drama|Horror
725::Great White Hype,;The (1996)::Comedy
726::Last Dance (1996):;:Drama
727::War Stories (1995);::Documentary
728::Cold Comfort Farm;(1995)::Comedy
729::Institute Benjamen;ta, or This Dream People Call Human Life (1995)::Drama
730::Low Life, The (199;4)::Drama
731::Heaven's Prisoners;(1996)::Mystery|Thriller
732::Original Gangstas;(1996)::Crime
733::Rock, The (1996)::;Action|Adventure|Thriller
734::Getting Away With;Murder (1996)::Comedy
735::Cemetery Man (Dell;amorte Dellamore) (1994)::Comedy|Horror
736::Twister (1996)::Ac;tion|Adventure|Romance|Thriller
737::Barb Wire (1996)::;Action|Sci-Fi
738::Garcu, Le (1995)::;Drama
739::Honigmond (1996)::;Comedy
741::Ghost in the Shell;(Kokaku kidotai) (1995)::Animation|Sci-Fi
742::Thinner (1996)::Ho;rror|Thriller
743::Spy Hard (1996)::C;omedy
744::Brothers in Troubl;e (1995)::Drama
745::Close Shave, A (19;95)::Animation|Comedy|Thriller
746::Force of Evil (194;8)::Film-Noir
747::Stupids, The (1996;)::Comedy
748::Arrival, The (1996;)::Action|Sci-Fi|Thriller
749::Man from Down Unde;r, The (1943)::Drama
750::Dr. Strangelove or;: How I Learned to Stop Worrying and Love the Bomb (1963)::Sci-Fi|War
751::Careful (1992)::Co;medy
752::Vermont Is For Lov;ers (1992)::Comedy|Romance
753::Month by the Lake,;A (1995)::Comedy|Drama
754::Gold Diggers: The;Secret of Bear Mountain (1995)::Adventure|Children's
755::Kim (1950)::Childr;en's|Drama
756::Carmen Miranda: Ba;nanas Is My Business (1994)::Documentary
757::Ashes of Time (199;4)::Drama
758::Jar, The (Khomreh);(1992)::Drama
759::Maya Lin: A Strong;Clear Vision (1994)::Documentary
760::Stalingrad (1993):;:War
761::Phantom, The (1996;)::Adventure
762::Striptease (1996):;:Comedy|Crime
763::Last of the High K;ings, The (a.k.a. Summer Fling) (1996)::Drama
764::Heavy (1995)::Dram;a|Romance
765::Jack (1996)::Comed;y|Drama
766::I Shot Andy Warhol;(1996)::Drama
767::Grass Harp, The (1;995)::Drama
768::Someone Else's Ame;rica (1995)::Drama
769::Marlene Dietrich:;Shadow and Light (1996)::Documentary
770::Costa Brava (1946);::Drama
771::Vie est belle, La;(Life is Rosey) (1987)::Comedy|Drama
772::Quartier Mozart (1;992)::Comedy
773::Touki Bouki (Journ;ey of the Hyena) (1973)::Drama
774::Wend Kuuni (God's;Gift) (1982)::Drama
775::Spirits of the Dea;d (Tre Passi nel Delirio) (1968)::Horror
776::Babyfever (1994)::;Comedy|Drama
777::Pharaoh's Army (19;95)::War
778::Trainspotting (199;6)::Drama
779::'Til There Was You;(1997)::Drama|Romance
780::Independence Day (;ID4) (1996)::Action|Sci-Fi|War
781::Stealing Beauty (1;996)::Drama
782::Fan, The (1996)::T;hriller
783::Hunchback of Notre;Dame, The (1996)::Animation|Children's|Musical
784::Cable Guy, The (19;96)::Comedy
785::Kingpin (1996)::Co;medy
786::Eraser (1996)::Act;ion|Thriller
787::Gate of Heavenly P;eace, The (1995)::Documentary
788::Nutty Professor, T;he (1996)::Comedy|Fantasy|Romance|Sci-Fi
789::I, Worst of All (Y;o, la peor de todas) (1990)::Drama
790::An Unforgettable S;ummer (1994)::Drama
791::Last Klezmer: Leop;old Kozlowski, His Life and Music, The (1995)::Documentary
792::Hungarian Fairy Ta;le, A (1987)::Fantasy
793::My Life and Times;With Antonin Artaud (En compagnie d'Antonin Artaud) (1993)::Drama
794::Midnight Dancers (;Sibak) (1994)::Comedy|Drama
795::Somebody to Love (;1994)::Drama
796::Very Natural Thing;, A (1974)::Drama
797::Old Lady Who Walke;d in the Sea, The (Vieille qui marchait dans la mer, La) (1991)::Comedy
798::Daylight (1996)::A;ction|Adventure|Thriller
799::Frighteners, The (;1996)::Comedy|Horror
800::Lone Star (1996)::;Drama|Mystery
801::Harriet the Spy (1;996)::Children's|Comedy
802::Phenomenon (1996):;:Drama|Romance
803::Walking and Talkin;g (1996)::Romance
804::She's the One (199;6)::Comedy|Romance
805::Time to Kill, A (1;996)::Drama
806::American Buffalo (;1996)::Drama
807::Rendezvous in Pari;s (Rendez-vous de Paris, Les) (1995)::Comedy|Romance
808::Alaska (1996)::Adv;enture|Children's
809::Fled (1996)::Actio;n|Adventure
810::Kazaam (1996)::Chi;ldren's|Comedy|Fantasy
811::Bewegte Mann, Der;(1994)::Comedy
812::Magic Hunter (1994;)::Drama
813::Larger Than Life (;1996)::Comedy
814::Boy Called Hate, A;(1995)::Drama
815::Power 98 (1995)::A;ction|Mystery|Thriller
816::Two Deaths (1995):;:Drama
818::Very Brady Sequel,;A (1996)::Comedy
819::Stefano Quantestor;ie (1993)::Comedy|Drama
820::Death in the Garde;n (Mort en ce jardin, La) (1956)::Drama
821::Crude Oasis, The (;1995)::Romance
822::Hedd Wyn (1992)::D;rama
823::Collectionneuse, L;a (1967)::Drama
824::Kaspar Hauser (199;3)::Drama
825::Echte Kerle (1996);::Comedy|Romance
826::Diebinnen (1995)::;Drama
827::Convent, The (Conv;ento, O) (1995)::Drama
828::Adventures of Pino;cchio, The (1996)::Adventure|Children's
829::Joe's Apartment (1;996)::Comedy|Musical
830::First Wives Club,;The (1996)::Comedy
831::Stonewall (1995)::;Drama
832::Ransom (1996)::Dra;ma|Thriller
833::High School High (;1996)::Comedy
834::Phat Beach (1996):;:Comedy
835::Foxfire (1996)::Dr;ama
836::Chain Reaction (19;96)::Action|Adventure|Thriller
837::Matilda (1996)::Ch;ildren's|Comedy
838::Emma (1996)::Comed;y|Drama|Romance
839::Crow: City of Ange;ls, The (1996)::Action|Thriller
840::House Arrest (1996;)::Comedy
841::Eyes Without a Fac;e (1959)::Horror
842::Tales from the Cry;pt Presents: Bordello of Blood (1996)::Horror
843::Lotto Land (1995):;:Drama
844::Story of Xinghua,;The (1993)::Drama
845::Day the Sun Turned;Cold, The (Tianguo niezi) (1994)::Drama
846::Flirt (1995)::Dram;a
847::Big Squeeze, The (;1996)::Comedy|Drama
848::Spitfire Grill, Th;e (1996)::Drama
849::Escape from L.A. (;1996)::Action|Adventure|Sci-Fi|Thriller
850::Cyclo (1995)::Crim;e|Drama
851::Basquiat (1996)::D;rama
852::Tin Cup (1996)::Co;medy|Romance
853::Dingo (1992)::Dram;a
854::Ballad of Narayama;, The (Narayama Bushiko) (1958)::Drama
855::Every Other Weeken;d (1990)::Drama
856::Mille bolle blu (1;993)::Comedy
857::Crows and Sparrows;(1949)::Drama
858::Godfather, The (19;72)::Action|Crime|Drama
859::Hippie Revolution,;The (1996)::Documentary
860::Maybe, Maybe Not (;Bewegte Mann, Der) (1994)::Comedy
861::Supercop (1992)::A;ction|Thriller
862::Manny & Lo (1996):;:Drama
863::Celestial Clockwor;k (1994)::Comedy
864::Wife, The (1995)::;Comedy|Drama
865::Small Faces (1995);::Drama
866::Bound (1996)::Crim;e|Drama|Romance|Thriller
867::Carpool (1996)::Co;medy|Crime
868::Death in Brunswick;(1991)::Comedy
869::Kansas City (1996);::Crime
870::Gone Fishin' (1997;)::Comedy
871::Lover's Knot (1996;)::Comedy
872::Aiqing wansui (199;4)::Drama
873::Shadow of Angels (;Schatten der Engel) (1976)::Drama
874::Killer: A Journal;of Murder (1995)::Crime|Drama
875::Nothing to Lose (1;994)::Drama
876::Police Story 4: Pr;oject S (Chao ji ji hua) (1993)::Action
877::Girls Town (1996):;:Drama
878::Bye-Bye (1995)::Dr;ama
879::Relic, The (1997):;:Horror
880::Island of Dr. More;au, The (1996)::Sci-Fi|Thriller
881::First Kid (1996)::;Children's|Comedy
882::Trigger Effect, Th;e (1996)::Drama|Thriller
884::Sweet Nothing (199;5)::Drama
885::Bogus (1996)::Chil;dren's|Drama|Fantasy
886::Bulletproof (1996);::Action
887::Talk of Angels (19;98)::Drama
888::Land Before Time I;II: The Time of the Great Giving (1995)::Animation|Children's
889::1-900 (1994)::Roma;nce
890::Baton Rouge (1988);::Thriller
891::Halloween: The Cur;se of Michael Myers (1995)::Horror|Thriller
892::Twelfth Night (199;6)::Comedy|Drama|Romance
893::Mother Night (1996;)::Drama
894::Liebelei (1933)::R;omance
895::Venice/Venice (199;2)::Drama
896::Wild Reeds (1994):;:Drama
897::For Whom the Bell;Tolls (1943)::Adventure|War
898::Philadelphia Story;, The (1940)::Comedy|Romance
899::Singin' in the Rai;n (1952)::Musical|Romance
900::American in Paris,;An (1951)::Musical|Romance
901::Funny Face (1957):;:Comedy|Musical
902::Breakfast at Tiffa;ny's (1961)::Drama|Romance
903::Vertigo (1958)::My;stery|Thriller
904::Rear Window (1954);::Mystery|Thriller
905::It Happened One Ni;ght (1934)::Comedy
906::Gaslight (1944)::M;ystery|Thriller
907::Gay Divorcee, The;(1934)::Comedy|Musical|Romance
908::North by Northwest;(1959)::Drama|Thriller
909::Apartment, The (19;60)::Comedy|Drama
910::Some Like It Hot (;1959)::Comedy|Crime
911::Charade (1963)::Co;medy|Mystery|Romance|Thriller
912::Casablanca (1942):;:Drama|Romance|War
913::Maltese Falcon, Th;e (1941)::Film-Noir|Mystery
914::My Fair Lady (1964;)::Musical|Romance
915::Sabrina (1954)::Co;medy|Romance
916::Roman Holiday (195;3)::Comedy|Romance
917::Little Princess, T;he (1939)::Children's|Drama
918::Meet Me in St. Lou;is (1944)::Musical
919::Wizard of Oz, The;(1939)::Adventure|Children's|Drama|Musical
920::Gone with the Wind;(1939)::Drama|Romance|War
921::My Favorite Year (;1982)::Comedy
922::Sunset Blvd. (a.k.;a. Sunset Boulevard) (1950)::Film-Noir
923::Citizen Kane (1941;)::Drama
924::2001: A Space Odys;sey (1968)::Drama|Mystery|Sci-Fi|Thriller
925::Golden Earrings (1;947)::Adventure|Romance
926::All About Eve (195;0)::Drama
927::Women, The (1939):;:Comedy
928::Rebecca (1940)::Ro;mance|Thriller
929::Foreign Correspond;ent (1940)::Thriller
930::Notorious (1946)::;Film-Noir|Romance|Thriller
931::Spellbound (1945):;:Mystery|Romance|Thriller
932::Affair to Remember;, An (1957)::Romance
933::To Catch a Thief (;1955)::Comedy|Romance|Thriller
934::Father of the Brid;e (1950)::Comedy
935::Band Wagon, The (1;953)::Comedy|Musical
936::Ninotchka (1939)::;Comedy|Romance
937::Love in the Aftern;oon (1957)::Comedy|Romance
938::Gigi (1958)::Music;al
939::Reluctant Debutant;e, The (1958)::Comedy|Drama
940::Adventures of Robi;n Hood, The (1938)::Action|Adventure
941::Mark of Zorro, The;(1940)::Adventure
942::Laura (1944)::Crim;e|Film-Noir|Mystery
943::Ghost and Mrs. Mui;r, The (1947)::Drama|Romance
944::Lost Horizon (1937;)::Drama
945::Top Hat (1935)::Co;medy|Musical|Romance
946::To Be or Not to Be;(1942)::Comedy|Drama|War
947::My Man Godfrey (19;36)::Comedy
948::Giant (1956)::Dram;a
949::East of Eden (1955;)::Drama
950::Thin Man, The (193;4)::Mystery
951::His Girl Friday (1;940)::Comedy
952::Around the World i;n 80 Days (1956)::Adventure|Comedy
953::It's a Wonderful L;ife (1946)::Drama
954::Mr. Smith Goes to;Washington (1939)::Drama
955::Bringing Up Baby (;1938)::Comedy
956::Penny Serenade (19;41)::Drama|Romance
957::Scarlet Letter, Th;e (1926)::Drama
958::Lady of Burlesque;(1943)::Comedy|Mystery
959::Of Human Bondage (;1934)::Drama
960::Angel on My Should;er (1946)::Crime|Drama
961::Little Lord Fauntl;eroy (1936)::Drama
962::They Made Me a Cri;minal (1939)::Crime|Drama
963::Inspector General,;The (1949)::Musical
964::Angel and the Badm;an (1947)::Western
965::39 Steps, The (193;5)::Thriller
966::Walk in the Sun, A;(1945)::Drama
967::Outlaw, The (1943);::Western
968::Night of the Livin;g Dead (1968)::Horror|Sci-Fi
969::African Queen, The;(1951)::Action|Adventure|Romance|War
970::Beat the Devil (19;54)::Comedy|Drama
971::Cat on a Hot Tin R;oof (1958)::Drama
972::Last Time I Saw Pa;ris, The (1954)::Drama
973::Meet John Doe (194;1)::Drama
974::Algiers (1938)::Dr;ama|Romance
975::Something to Sing;About (1937)::Comedy|Musical
976::Farewell to Arms,;A (1932)::Romance|War
977::Moonlight Murder (;1936)::Mystery
978::Blue Angel, The (B;laue Engel, Der) (1930)::Drama
979::Nothing Personal (;1995)::Drama|War
980::In the Line of Dut;y 2 (1987)::Action
981::Dangerous Ground (;1997)::Drama
982::Picnic (1955)::Dra;ma
983::Madagascar Skin (1;995)::Romance
984::Pompatus of Love,;The (1996)::Comedy|Drama
985::Small Wonders (199;6)::Documentary
986::Fly Away Home (199;6)::Adventure|Children's
987::Bliss (1997)::Dram;a|Romance
988::Grace of My Heart;(1996)::Comedy|Drama
989::Schlafes Bruder (B;rother of Sleep) (1995)::Drama
990::Maximum Risk (1996;)::Action|Adventure|Thriller
991::Michael Collins (1;996)::Drama|War
992::Rich Man's Wife, T;he (1996)::Thriller
993::Infinity (1996)::D;rama
994::Big Night (1996)::;Drama
996::Last Man Standing;(1996)::Action|Drama|Western
997::Caught (1996)::Dra;ma|Thriller
998::Set It Off (1996):;:Action|Crime
999::2 Days in the Vall;ey (1996)::Crime
1000::Curdled (1996)::C;rime
1001::Associate, The (L;'Associe)(1982)::Comedy
1002::Ed's Next Move (1;996)::Comedy
1003::Extreme Measures;(1996)::Drama|Thriller
1004::Glimmer Man, The;(1996)::Action|Thriller
1005::D3: The Mighty Du;cks (1996)::Children's|Comedy
1006::Chamber, The (199;6)::Drama
1007::Apple Dumpling Ga;ng, The (1975)::Children's|Comedy|Western
1008::Davy Crockett, Ki;ng of the Wild Frontier (1955)::Western
1009::Escape to Witch M;ountain (1975)::Adventure|Children's|Fantasy
1010::Love Bug, The (19;69)::Children's|Comedy
1011::Herbie Rides Agai;n (1974)::Adventure|Children's|Comedy
1012::Old Yeller (1957);::Children's|Drama
1013::Parent Trap, The;(1961)::Children's|Drama
1014::Pollyanna (1960):;:Children's|Comedy|Drama
1015::Homeward Bound: T;he Incredible Journey (1993)::Adventure|Children's
1016::Shaggy Dog, The (;1959)::Children's|Comedy
1017::Swiss Family Robi;nson (1960)::Adventure|Children's
1018::That Darn Cat! (1;965)::Children's|Comedy|Mystery
1019::20,000 Leagues Un;der the Sea (1954)::Adventure|Children's|Fantasy|Sci-Fi
1020::Cool Runnings (19;93)::Comedy
1021::Angels in the Out;field (1994)::Children's|Comedy
1022::Cinderella (1950);::Animation|Children's|Musical
1023::Winnie the Pooh a;nd the Blustery Day (1968)::Animation|Children's
1024::Three Caballeros,;The (1945)::Animation|Children's|Musical
1025::Sword in the Ston;e, The (1963)::Animation|Children's
1026::So Dear to My Hea;rt (1949)::Children's|Drama
1027::Robin Hood: Princ;e of Thieves (1991)::Drama
1028::Mary Poppins (196;4)::Children's|Comedy|Musical
1029::Dumbo (1941)::Ani;mation|Children's|Musical
1030::Pete's Dragon (19;77)::Adventure|Animation|Children's|Musical
1031::Bedknobs and Broo;msticks (1971)::Adventure|Children's|Musical
1032::Alice in Wonderla;nd (1951)::Animation|Children's|Musical
1033::Fox and the Hound;, The (1981)::Animation|Children's
1034::Freeway (1996)::C;rime
1035::Sound of Music, T;he (1965)::Musical
1036::Die Hard (1988)::;Action|Thriller
1037::Lawnmower Man, Th;e (1992)::Action|Sci-Fi|Thriller
1038::Unhook the Stars;(1996)::Drama
1039::Synthetic Pleasur;es (1995)::Documentary
1040::Secret Agent, The;(1996)::Drama
1041::Secrets & Lies (1;996)::Drama
1042::That Thing You Do;! (1996)::Comedy
1043::To Gillian on Her;37th Birthday (1996)::Drama|Romance
1044::Surviving Picasso;(1996)::Drama
1045::Love Is All There;Is (1996)::Comedy|Drama
1046::Beautiful Thing (;1996)::Drama|Romance
1047::Long Kiss Goodnig;ht, The (1996)::Action|Thriller
1049::Ghost and the Dar;kness, The (1996)::Action|Adventure
1050::Looking for Richa;rd (1996)::Documentary|Drama
1051::Trees Lounge (199;6)::Drama
1052::Proprietor, The (;1996)::Drama
1053::Normal Life (1996;)::Crime|Drama
1054::Get on the Bus (1;996)::Drama
1055::Shadow Conspiracy;(1997)::Thriller
1056::Jude (1996)::Dram;a
1057::Everyone Says I L;ove You (1996)::Comedy|Musical|Romance
1058::Bitter Sugar (Azu;car Amargo) (1996)::Drama
1059::William Shakespea;re's Romeo and Juliet (1996)::Drama|Romance
1060::Swingers (1996)::;Comedy|Drama
1061::Sleepers (1996)::;Crime|Drama
1062::Sunchaser, The (1;996)::Drama
1063::Johns (1996)::Dra;ma
1064::Aladdin and the K;ing of Thieves (1996)::Animation|Children's|Comedy
1065::Woman in Question;, The (1950)::Mystery
1066::Shall We Dance? (;1937)::Comedy|Musical|Romance
1067::Damsel in Distres;s, A (1937)::Comedy|Musical|Romance
1068::Crossfire (1947):;:Crime|Film-Noir
1069::Murder, My Sweet;(1944)::Film-Noir|Thriller
1070::Macao (1952)::Adv;enture
1071::For the Moment (1;994)::Romance|War
1073::Willy Wonka and t;he Chocolate Factory (1971)::Adventure|Children's|Comedy|Fantasy
1075::Sexual Life of th;e Belgians, The (1994)::Comedy
1076::Innocents, The (1;961)::Thriller
1077::Sleeper (1973)::C;omedy|Sci-Fi
1078::Bananas (1971)::C;omedy|War
1079::Fish Called Wanda;, A (1988)::Comedy
1080::Monty Python's Li;fe of Brian (1979)::Comedy
1081::Victor/Victoria (;1982)::Comedy|Musical
1082::Candidate, The (1;972)::Drama
1083::Great Race, The (;1965)::Comedy|Musical
1084::Bonnie and Clyde;(1967)::Crime|Drama
1085::Old Man and the S;ea, The (1958)::Adventure|Drama
1086::Dial M for Murder;(1954)::Mystery|Thriller
1087::Madame Butterfly;(1995)::Musical
1088::Dirty Dancing (19;87)::Musical|Romance
1089::Reservoir Dogs (1;992)::Crime|Thriller
1090::Platoon (1986)::D;rama|War
1091::Weekend at Bernie;'s (1989)::Comedy
1092::Basic Instinct (1;992)::Mystery|Thriller
1093::Doors, The (1991);::Drama|Musical
1094::Crying Game, The;(1992)::Drama|Romance|War
1095::Glengarry Glen Ro;ss (1992)::Drama
1096::Sophie's Choice (;1982)::Drama
1097::E.T. the Extra-Te;rrestrial (1982)::Children's|Drama|Fantasy|Sci-Fi
1098::Search for One-ey;e Jimmy, The (1996)::Comedy
1099::Christmas Carol,;A (1938)::Drama
1100::Days of Thunder (;1990)::Action|Romance
1101::Top Gun (1986)::A;ction|Romance
1102::American Strays (;1996)::Action
1103::Rebel Without a C;ause (1955)::Drama
1104::Streetcar Named D;esire, A (1951)::Drama
1105::Children of the C;orn IV: The Gathering (1996)::Horror
1106::Leopard Son, The;(1996)::Documentary
1107::Loser (1991)::Com;edy
1108::Prerokbe Ognja (1;995)::Documentary
1109::Charm's Incidents;(1996)::Drama
1110::Bird of Prey (199;6)::Action
1111::Microcosmos (Micr;ocosmos: Le peuple de l'herbe) (1996)::Documentary
1112::Palookaville (199;6)::Action|Drama
1113::Associate, The (1;996)::Comedy
1114::Funeral, The (199;6)::Drama
1115::Sleepover (1995):;:Comedy|Drama
1116::Single Girl, A (L;a Fille Seule) (1995)::Drama
1117::Eighth Day, The (;Le Huitième jour ) (1996)::Drama
1118::Tashunga (1995)::;Adventure|Western
1119::Drunks (1997)::Dr;ama
1120::People vs. Larry;Flynt, The (1996)::Drama
1121::Glory Daze (1996);::Drama
1122::Plutonium Circus;(1995)::Documentary
1123::Perfect Candidate;, A (1996)::Documentary
1124::On Golden Pond (1;981)::Drama
1125::Return of the Pin;k Panther, The (1974)::Comedy
1126::Drop Dead Fred (1;991)::Comedy|Fantasy
1127::Abyss, The (1989);::Action|Adventure|Sci-Fi|Thriller
1128::Fog, The (1980)::;Horror
1129::Escape from New Y;ork (1981)::Action|Adventure|Sci-Fi|Thriller
1130::Howling, The (198;0)::Horror
1131::Jean de Florette;(1986)::Drama
1132::Manon of the Spri;ng (Manon des sources) (1986)::Drama
1133::Talking About Sex;(1994)::Comedy|Drama
1134::Johnny 100 Pesos;(1993)::Action|Drama
1135::Private Benjamin;(1980)::Comedy
1136::Monty Python and;the Holy Grail (1974)::Comedy
1137::Hustler White (19;96)::Romance
1138::Dadetown (1995)::;Documentary
1139::Everything Relati;ve (1996)::Drama
1140::Entertaining Ange;ls: The Dorothy Day Story (1996)::Drama
1141::Hoogste tijd (199;5)::Drama
1142::Get Over It (1996;)::Drama
1143::Three Lives and O;nly One Death (1996)::Comedy
1144::Line King: Al Hir;schfeld, The (1996)::Documentary
1145::Snowriders (1996);::Documentary
1146::Curtis's Charm (1;995)::Comedy|Drama
1147::When We Were King;s (1996)::Documentary
1148::Wrong Trousers, T;he (1993)::Animation|Comedy
1149::JLG/JLG - autopor;trait de décembre (1994)::Documentary|Drama
1150::Return of Martin;Guerre, The (Retour de Martin Guerre, Le) (1982)::Drama
1151::Faust (1994)::Ani;mation|Comedy|Thriller
1152::He Walked by Nigh;t (1948)::Crime|Film-Noir|Thriller
1153::Raw Deal (1948)::;Film-Noir
1154::T-Men (1947)::Fil;m-Noir
1155::Invitation, The (;Zaproszenie) (1986)::Drama
1156::Children Are Watc;hing us, The (Bambini ci guardano, I) (1942)::Drama
1157::Symphonie pastora;le, La (1946)::Drama
1158::Here Comes Cookie;(1935)::Comedy
1159::Love in Bloom (19;35)::Romance
1160::Six of a Kind (19;34)::Comedy
1161::Tin Drum, The (Bl;echtrommel, Die) (1979)::Drama
1162::Ruling Class, The;(1972)::Comedy
1163::Mina Tannenbaum (;1994)::Drama
1164::Two or Three Thin;gs I Know About Her (1966)::Drama
1165::Bloody Child, The;(1996)::Drama|Thriller
1166::Farmer & Chase (1;995)::Comedy
1167::Dear God (1996)::;Comedy
1168::Bad Moon (1996)::;Horror
1169::American Dream (1;990)::Documentary
1170::Best of the Best;3: No Turning Back (1995)::Action
